pressure_altitude_ft,temperature_c,weight_lb,cumulative_time_min,cumulative_fuel_gal,cumulative_distance_nm,source_page
0,15,3600,0,0,0,5-30
500,14,3600,0.4,0.15,0.75,5-30
1000,13,3600,0.8,0.3,1.5,5-30
1500,12,3600,1.25,0.5,2.3,5-30
2000,11,3600,1.7,0.7,3.1,5-30
2500,10,3600,2.15,0.85,3.95,5-30
3000,9,3600,2.6,1,4.8,5-30
3500,8,3600,3.1,1.2,5.75,5-30
4000,7,3600,3.6,1.4,6.7,5-30
4500,6,3600,4.15,1.55,7.65,5-30
5000,5,3600,4.7,1.7,8.6,5-30
5500,4,3600,5.25,1.9,9.65,5-30
6000,3,3600,5.8,2.1,10.7,5-30
6500,2,3600,6.35,2.3,11.8,5-30
7000,1,3600,6.9,2.5,12.9,5-30
7500,0,3600,7.55,2.7,14.15,5-30
8000,-1,3600,8.2,2.9,15.4,5-30
8500,-2,3600,8.9,3.1,16.7,5-30
9000,-3,3600,9.6,3.3,18,5-30
9500,-4,3600,10.35,3.5,19.45,5-30
10000,-5,3600,11.1,3.7,20.9,5-30
10500,-6,3600,11.9,3.95,22.5,5-30
11000,-7,3600,12.7,4.2,24.1,5-30
11500,-8,3600,13.55,4.4,25.85,5-30
12000,-9,3600,14.4,4.6,27.6,5-30
12500,-10,3600,15.4,4.85,29.6,5-30
13000,-11,3600,16.4,5.1,31.6,5-30
13500,-12,3600,17.55,5.4,33.85,5-30
14000,-13,3600,18.7,5.7,36.1,5-30
14500,-14,3600,19.95,6,38.75,5-30/5-31
15000,-15,3600,21.2,6.3,41.4,5-31
15500,-16,3600,22.75,6.65,44.5,5-31
16000,-17,3600,24.3,7,47.6,5-31
16500,-18,3600,26.1,7.4,51.35,5-31
17000,-19,3600,27.9,7.8,55.1,5-31
17500,-20,3600,30,8.2,59.4,5-31
