pressure_altitude_ft,isa_deviation_c,rpm,map_in_hg,power_percent,ktas,gph,source_page
2000,-30,2700,27.4,103,186,24.6,5-32
2000,0,2700,27.4,98,186,23.3,5-32
2000,30,2700,27.4,93,181,22.0,5-32
2000,-30,2600,27.4,99,183,23.5,5-32
2000,0,2600,27.4,94,183,22.2,5-32
2000,30,2600,27.4,89,178,21.5,5-32
2000,-30,2500,27.4,93,179,22.1,5-32
2000,0,2500,27.4,88,179,20.9,5-32
2000,30,2500,27.4,84,174,20.8,5-32
2000,-30,2500,26.4,89,176,21.1,5-32
2000,0,2500,26.4,84,176,19.9,5-32
2000,30,2500,26.4,80,171,20.2,5-32
2000,-30,2500,25.4,84,173,20.0,5-32
2000,0,2500,25.4,80,173,19.0,5-32
2000,30,2500,25.4,76,168,19.5,5-32
2000,-30,2500,24.4,80,170,19.0,5-32
2000,0,2500,24.4,76,170,18.0,5-32
2000,30,2500,24.4,72,165,18.8,5-32
2000,-30,2500,23.4,76,167,18.0,5-32
2000,0,2500,23.4,72,167,17.0,5-32
2000,30,2500,23.4,68,162,18.1,5-32
4000,-30,2700,25.4,96,185,22.9,5-32
4000,0,2700,25.4,91,185,21.6,5-32
4000,30,2700,25.4,87,180,20.8,5-32
4000,-30,2600,25.4,92,182,21.9,5-32
4000,0,2600,25.4,87,182,20.7,5-32
4000,30,2600,25.4,83,177,20.6,5-32
4000,-30,2500,25.4,87,178,20.6,5-32
4000,0,2500,25.4,82,178,19.5,5-32
4000,30,2500,25.4,78,173,19.9,5-32
4000,-30,2500,24.4,82,175,19.5,5-32
4000,0,2500,24.4,78,175,18.5,5-32
4000,30,2500,24.4,74,170,19.2,5-32
4000,-30,2500,23.4,78,172,18.5,5-32
4000,0,2500,23.4,74,172,17.5,5-32
4000,30,2500,23.4,70,167,18.5,5-32
4000,-30,2500,22.4,73,169,17.4,5-32
4000,0,2500,22.4,69,169,16.5,5-32
4000,30,2500,22.4,66,163,17.7,5-32
4000,-30,2500,21.4,69,165,16.4,5-32
4000,0,2500,21.4,65,165,15.5,5-32
4000,30,2500,21.4,62,159,16.9,5-32
6000,-30,2700,23.5,89,184,21.2,5-33
6000,0,2700,23.5,85,184,20.1,5-33
6000,30,2700,23.5,81,179,19.6,5-33
6000,-30,2600,23.5,85,181,20.3,5-33
6000,0,2600,23.5,81,181,19.2,5-33
6000,30,2600,23.5,77,176,19.1,5-33
6000,-30,2500,23.5,80,177,19.1,5-33
6000,0,2500,23.5,76,177,18.1,5-33
6000,30,2500,23.5,72,172,18.3,5-33
6000,-30,2500,22.5,76,174,18.1,5-33
6000,0,2500,22.5,72,174,17.1,5-33
6000,30,2500,22.5,68,169,17.6,5-33
6000,-30,2500,21.5,72,170,17.0,5-33
6000,0,2500,21.5,68,170,16.1,5-33
6000,30,2500,21.5,64,165,16.9,5-33
6000,-30,2500,20.5,67,166,15.9,5-33
6000,0,2500,20.5,64,166,15.1,5-33
6000,30,2500,20.5,60,161,16.1,5-33
6000,-30,2500,19.5,63,162,14.9,5-33
6000,0,2500,19.5,59,162,14.1,5-33
6000,30,2500,19.5,56,157,15.3,5-33
8000,-30,2700,21.7,83,183,19.7,5-33
8000,0,2700,21.7,78,183,18.6,5-33
8000,30,2700,21.7,75,178,17.7,5-33
8000,-30,2600,21.7,79,180,18.8,5-33
8000,0,2600,21.7,75,180,17.8,5-33
8000,30,2600,21.7,71,175,17.0,5-33
8000,-30,2500,21.7,75,176,17.7,5-33
8000,0,2500,21.7,71,176,16.8,5-33
8000,30,2500,21.7,67,171,16.0,5-33
8000,-30,2500,20.7,70,172,16.7,5-33
8000,0,2500,20.7,66,172,15.8,5-33
8000,30,2500,20.7,63,167,15.0,5-33
8000,-30,2500,19.7,66,168,15.6,5-33
8000,0,2500,19.7,62,168,14.8,5-33
8000,30,2500,19.7,59,163,14.0,5-33
8000,-30,2500,18.7,61,163,14.5,5-33
8000,0,2500,18.7,58,163,13.8,5-33
8000,30,2500,18.7,55,158,13.1,5-33
8000,-30,2500,17.7,57,159,13.5,5-33
8000,0,2500,17.7,54,159,12.8,5-33
8000,30,2500,17.7,51,153,12.1,5-33
10000,-30,2700,20.0,77,182,18.2,5-33
10000,0,2700,20.0,73,182,17.3,5-33
10000,30,2700,20.0,69,176,16.4,5-33
10000,-30,2600,20.0,71,177,17.0,5-33
10000,0,2600,20.0,68,177,16.1,5-33
10000,30,2600,20.0,64,172,15.3,5-33
10000,-30,2500,20.0,67,173,16.0,5-33
10000,0,2500,20.0,64,173,15.1,5-33
10000,30,2500,20.0,61,167,14.4,5-33
10000,-30,2500,19.0,63,168,14.9,5-33
10000,0,2500,19.0,59,168,14.1,5-33
10000,30,2500,19.0,56,163,13.4,5-33
10000,-30,2500,18.0,58,163,13.8,5-33
10000,0,2500,18.0,55,163,13.1,5-33
10000,30,2500,18.0,52,158,12.5,5-33
10000,-30,2500,17.0,54,158,12.8,5-33
10000,0,2500,17.0,51,158,12.1,5-33
10000,30,2500,17.0,48,153,11.5,5-33
12000,-30,2700,18.5,71,180,16.9,5-33
12000,0,2700,18.5,67,180,16.0,5-33
12000,30,2700,18.5,64,175,15.2,5-33
12000,-30,2600,18.5,68,177,16.2,5-33
12000,0,2600,18.5,64,177,15.3,5-33
12000,30,2600,18.5,61,172,14.5,5-33
12000,-30,2500,18.5,64,173,15.2,5-33
12000,0,2500,18.5,60,173,14.4,5-33
12000,30,2500,18.5,58,167,13.7,5-33
12000,-30,2500,17.5,59,168,14.1,5-33
12000,0,2500,17.5,56,168,13.4,5-33
12000,30,2500,17.5,53,162,12.7,5-33
12000,-30,2500,16.5,55,162,13.0,5-33
12000,0,2500,16.5,52,162,12.3,5-33
12000,30,2500,16.5,49,157,11.7,5-33
12000,-30,2500,15.5,50,156,12.0,5-33
12000,0,2500,15.5,48,156,11.3,5-33
12000,30,2500,15.5,45,151,10.8,5-33
14000,-30,2700,17.1,66,178,15.6,5-33
14000,0,2700,17.1,62,178,14.8,5-33
14000,30,2700,17.1,59,173,14.1,5-33
14000,-30,2600,17.1,63,175,14.9,5-33
