id,icao,name,latitude_deg,longitude_deg,elevation_ft_msl,pattern_altitude_ft_msl,pattern_altitude_source,pattern_altitude_source_revision,pattern_altitude_validation_status,source,source_revision
RJFC,RJFC,屋久島,30.3855555556,130.6591666667,122,1100,AutoNavLog validated reference policy,public-policy-v1,VERIFIED,Civil Aviation Bureau Japan AIP AD 2.2 via public mirror; JMA Aviation Climatological Information 2025 cross-check,AIP https://nagodede.github.io/aip/japan/documents/RJFC_full.pdf; RJFC AD2-1 EFF 27 AUG 2009 retrieved 2026-08-11; JMA 2025
RJFE,RJFE,福江,32.6663888889,128.8327777778,251,1300,AutoNavLog validated reference policy,public-policy-v1,VERIFIED,Civil Aviation Bureau Japan AIP AD 2.2 via public mirror; JMA Aviation Climatological Information 2025 cross-check,AIP https://nagodede.github.io/aip/japan/documents/RJFE_full.pdf; RJFE AD2-1 EFF 16 MAY 2024 retrieved 2026-08-11; JMA 2025
RJFG,RJFG,種子島,30.6050000000,130.9916666667,768,1800,AutoNavLog validated reference policy,public-policy-v1,VERIFIED,Civil Aviation Bureau Japan AIP AD 2.2 via public mirror; JMA Aviation Climatological Information 2025 cross-check,AIP https://nagodede.github.io/aip/japan/documents/RJFG_full.pdf; RJFG AD2-1 EFF 24 FEB 2022 retrieved 2026-08-11; JMA 2025
RJFK,RJFK,鹿児島,31.8033333333,130.7194444444,891,1900,AutoNavLog validated reference policy,public-policy-v1,VERIFIED,Civil Aviation Bureau Japan AIP AD 2.2 via public mirror; JMA Aviation Climatological Information 2025 cross-check,AIP https://nagodede.github.io/aip/japan/documents/RJFK_full.pdf; RJFK AD2-1 EFF 18 APR 2024 retrieved 2026-08-11; JMA 2025
RJFM,RJFM,宮崎,31.8772222222,131.4486111111,19,1000,AutoNavLog validated reference policy,public-policy-v1,VERIFIED,Civil Aviation Bureau Japan AIP AD 2.2 via public mirror; JMA Aviation Climatological Information 2025 cross-check,AIP https://nagodede.github.io/aip/japan/documents/RJFM_full.pdf; RJFM AD2-1 EFF 22 OCT 2009 retrieved 2026-08-11; JMA 2025
RJFO,RJFO,大分,33.4794444444,131.7372222222,17,1000,AutoNavLog validated reference policy,public-policy-v1,VERIFIED,Civil Aviation Bureau Japan AIP AD 2.2 via public mirror; JMA Aviation Climatological Information 2025 cross-check,AIP https://nagodede.github.io/aip/japan/documents/RJFO_full.pdf; RJFO AD2-1 EFF 19 FEB 2026 retrieved 2026-08-11; JMA 2025
RJFS,RJFS,佐賀,33.1497222222,130.3022222222,6,1000,AutoNavLog validated reference policy,public-policy-v1,VERIFIED,Civil Aviation Bureau Japan AIP AD 2.2 via public mirror; JMA Aviation Climatological Information 2025 cross-check,AIP https://nagodede.github.io/aip/japan/documents/RJFS_full.pdf; RJFS AD2-1 EFF 27 AUG 2009 retrieved 2026-08-11; JMA 2025
RJFT,RJFT,熊本,32.8372222222,130.8552777778,632,1700,AutoNavLog validated reference policy,public-policy-v1,VERIFIED,Civil Aviation Bureau Japan AIP AD 2.2 via public mirror; JMA Aviation Climatological Information 2025 cross-check,AIP https://nagodede.github.io/aip/japan/documents/RJFT_full.pdf; RJFT AD2-1 EFF 17 NOV 2011 retrieved 2026-08-11; JMA 2025
RJFU,RJFU,長崎,32.9169444444,129.9136111111,8,1000,AutoNavLog validated reference policy,public-policy-v1,VERIFIED,Civil Aviation Bureau Japan AIP AD 2.2 via public mirror; JMA Aviation Climatological Information 2025 cross-check,AIP https://nagodede.github.io/aip/japan/documents/RJFU_full.pdf; RJFU AD2-1 EFF 15 DEC 2011 retrieved 2026-08-11; JMA 2025
RJOA,RJOA,広島,34.4361111111,132.9194444444,1086,2100,AutoNavLog validated reference policy,public-policy-v1,VERIFIED,Civil Aviation Bureau Japan AIP AD 2.2 via public mirror; JMA Aviation Climatological Information 2025 cross-check,AIP https://nagodede.github.io/aip/japan/documents/RJOA_full.pdf; RJOA AD2-1 EFF 27 AUG 2009 retrieved 2026-08-11; JMA 2025
RJOB,RJOB,岡山,34.7569444444,133.8552777778,785,1800,AutoNavLog validated reference policy,public-policy-v1,VERIFIED,Civil Aviation Bureau Japan AIP AD 2.2 via public mirror; JMA Aviation Climatological Information 2025 cross-check,AIP https://nagodede.github.io/aip/japan/documents/RJOB_full.pdf; RJOB AD2-1 EFF 11 AUG 2022 retrieved 2026-08-11; JMA 2025
RJOK,RJOK,高知,33.5461111111,133.6694444444,29,1000,AutoNavLog validated reference policy,public-policy-v1,VERIFIED,Civil Aviation Bureau Japan AIP AD 2.2 via public mirror; JMA Aviation Climatological Information 2025 cross-check,AIP https://nagodede.github.io/aip/japan/documents/RJOK_full.pdf; RJOK AD2-1 EFF 18 JUL 2019 retrieved 2026-08-11; JMA 2025
RJOM,RJOM,松山,33.8272222222,132.6997222222,13,1000,AutoNavLog validated reference policy,public-policy-v1,VERIFIED,Civil Aviation Bureau Japan AIP AD 2.2 via public mirror; JMA Aviation Climatological Information 2025 cross-check,AIP https://nagodede.github.io/aip/japan/documents/RJOM_full.pdf; RJOM AD2-1 EFF 27 AUG 2009 retrieved 2026-08-11; JMA 2025
RJOT,RJOT,高松,34.2141666667,134.0155555556,607,1600,AutoNavLog validated reference policy,public-policy-v1,VERIFIED,Civil Aviation Bureau Japan AIP AD 2.2 via public mirror; JMA Aviation Climatological Information 2025 cross-check,AIP https://nagodede.github.io/aip/japan/documents/RJOT_full.pdf; RJOT AD2-1 EFF 22 JAN 2026 retrieved 2026-08-11; JMA 2025
